daily_water_volume
2015-04-01,349.0625291759655
2015-05-01,380.30480246537917
2015-06-01,368.83480591542445
2015-07-01,404.48406867430674
2015-08-01,412.5173509572444
2015-09-01,418.9311073333846
2015-10-01,401.3692175771333
2015-11-01,438.2060412889955
2015-12-01,442.69555171102184
2016-01-01,424.62779756702184
2016-02-01,418.1789469009585
2016-03-01,369.20453085270555
2016-04-01,315.69739760408686
2016-05-01,328.3716481361232
2016-06-01,351.62466818340545
2016-07-01,380.2789641958959
2016-08-01,412.46102771659923
2016-09-01,424.52711898341806
2016-10-01,416.0284633750772
2016-11-01,435.8987749500888
2016-12-01,438.37851207866663
2017-01-01,475.91827302012837
2017-02-01,369.1286164216078
2017-03-01,343.94656894421695
2017-04-01,365.58587928971616
2017-05-01,365.18216256106274
2017-06-01,358.37859041913816
2017-07-01,405.5338403151392
2017-08-01,425.75724481119164
2017-09-01,430.32435730423606
2017-10-01,448.6894921937728
2017-11-01,439.0146253343012
2017-12-01,493.60888579164595
2018-01-01,427.659132513897
2018-02-01,540.8263075647803
2018-03-01,482.054200183803
2018-04-01,341.396489435249
2018-05-01,316.87419052552974
2018-06-01,316.99264651121916
2018-07-01,356.2667526802852
2018-08-01,394.001749156203
2018-09-01,412.58217750688254
2018-10-01,404.09908812786614
2018-11-01,413.1373581029676
2018-12-01,439.5787556259225
2019-01-01,442.65856793995863
2019-02-01,394.79363883529345
2019-03-01,387.5388366720992
2019-04-01,386.20373446226074
2019-05-01,326.4246891745461
2019-06-01,347.1565933167097
2019-07-01,373.39032432877934
2019-08-01,407.65810858748836
2019-09-01,395.96246294515095
2019-10-01,419.0073011042317
2019-11-01,471.45739105406676
2019-12-01,423.028010273185
2020-01-01,437.12995627056824
2020-02-01,415.41753128185564
2020-03-01,456.2725069420992
2020-04-01,449.69203148735755
2020-05-01,342.93801144728747
2020-06-01,376.608416098747
2020-07-01,411.8942387811814
2020-08-01,432.56797897835366
2020-09-01,412.4271322833612
2020-10-01,427.2871368012922
2020-11-01,441.6621434467595
2020-12-01,458.75442599526207
2021-01-01,420.9935878094651
2021-02-01,406.6649885641549
2021-03-01,396.00806639829585
2021-04-01,395.6854653579776
2021-05-01,394.3557982191742
2021-06-01,398.30963588506603
2021-07-01,411.7595143973529
2021-08-01,430.7361227895488
2021-09-01,429.401844637979
2021-10-01,437.94410310826606
2021-11-01,521.0191383017825
2021-12-01,418.0991234893783
2022-01-01,428.0990910712759
2022-02-01,424.46668031875794
2022-03-01,505.991255220411
2022-04-01,367.6206751870418
2022-05-01,310.29010085656057
2022-06-01,358.29574612756176
2022-07-01,402.5152095525025
2022-08-01,418.84757486020385
2022-09-01,440.7939823251239
2022-10-01,413.3408164919841
2022-11-01,446.5106505571343
2022-12-01,425.20388832548963
2023-01-01,454.7438321771348
2023-02-01,429.0638415626136
2023-03-01,368.73996646821905
2023-04-01,393.38534542983473
2023-05-01,457.7461887834261
2023-06-01,359.80963373015766
